17,0,152,66,78,1
50,0,95,159,7,1
0,0,7,6,7,1
114,0,85,194,131,0
151,0,123,14,91,0
186,0,33,92,190,0
223,0,59,86,88,0
247,0,145,33,115,1
0,0,22,22,23,0
302,0,192,97,151,1
342,0,124,42,67,0
372,0,75,23,80,0
78,0,120,121,29,0
93,0,167,161,35,1
468,0,178,0,43,0
100,0,85,131,194,1
360,0,75,80,23,1
518,0,113,4,18,0
555,0,164,110,41,0
579,0,139,167,117,0
17,1,152,66,78,1
50,1,95,159,7,1
0,1,7,6,7,1
114,1,85,194,131,0
151,1,123,14,91,0
186,1,33,92,190,0
223,1,59,86,88,0
247,1,145,33,115,1
0,1,22,22,23,0
302,1,192,97,151,1
342,1,124,42,67,1
372,1,75,23,80,0
78,1,120,121,29,0
93,1,167,161,35,1
468,1,178,0,43,1
100,1,85,131,194,0
360,1,75,80,23,1
518,1,113,4,18,0
555,1,164,110,41,1
579,1,139,167,117,0
17,3,152,66,78,1
50,3,95,159,7,1
0,3,7,6,7,1
114,3,85,194,131,0
151,3,123,14,91,0
186,3,33,92,190,0
223,3,59,86,88,0
247,3,145,33,115,1
0,3,22,22,23,0
302,3,192,97,151,1
342,3,124,42,67,1
372,3,75,23,80,0
78,3,120,121,29,1
93,3,167,161,35,1
468,3,178,0,43,0
100,3,85,131,194,1
360,3,75,80,23,1
518,3,113,4,18,0
555,3,164,110,41,1
579,3,139,167,117,0
17,4,152,66,78,1
50,4,95,159,7,1
0,4,7,6,7,1
114,4,85,194,131,0
151,4,123,14,91,0
186,4,33,92,190,0
223,4,59,86,88,0
247,4,145,33,115,0
0,4,22,22,23,0
302,4,192,97,151,1
342,4,124,42,67,0
372,4,75,23,80,0
78,4,120,121,29,0
93,4,167,161,35,1
468,4,178,0,43,0
100,4,85,131,194,1
360,4,75,80,23,1
518,4,113,4,18,0
555,4,164,110,41,0
579,4,139,167,117,0
17,5,152,66,78,1
50,5,95,159,7,1
0,5,7,6,7,1
114,5,85,194,131,1
151,5,123,14,91,0
186,5,33,92,190,1
223,5,59,86,88,0
247,5,145,33,115,1
0,5,22,22,23,0
302,5,192,97,151,1
342,5,124,42,67,1
372,5,75,23,80,0
78,5,120,121,29,1
93,5,167,161,35,1
468,5,178,0,43,1
100,5,85,131,194,0
360,5,75,80,23,1
518,5,113,4,18,0
555,5,164,110,41,1
579,5,139,167,117,1
17,6,152,66,78,1
50,6,95,159,7,0
0,6,7,6,7,1
114,6,85,194,131,0
151,6,123,14,91,0
186,6,33,92,190,1
223,6,59,86,88,0
247,6,145,33,115,0
0,6,22,22,23,0
302,6,192,97,151,1
342,6,124,42,67,1
372,6,75,23,80,1
78,6,120,121,29,0
93,6,167,161,35,1
468,6,178,0,43,1
100,6,85,131,194,1
360,6,75,80,23,1
518,6,113,4,18,0
555,6,164,110,41,0
579,6,139,167,117,1
17,7,152,66,78,1
50,7,95,159,7,1
0,7,7,6,7,1
114,7,85,194,131,0
151,7,123,14,91,0
186,7,33,92,190,1
223,7,59,86,88,0
247,7,145,33,115,1
0,7,22,22,23,0
302,7,192,97,151,0
342,7,124,42,67,1
372,7,75,23,80,0
78,7,120,121,29,1
93,7,167,161,35,1
468,7,178,0,43,0
100,7,85,131,194,0
360,7,75,80,23,1
518,7,113,4,18,0
555,7,164,110,41,1
579,7,139,167,117,1
17,8,152,66,78,1
50,8,95,159,7,1
0,8,7,6,7,1
